-61,161,N/A
-31,123,Australia
44,175,N/A
-65,136,N/A
-32,104,N/A
-68,136,Antarctica
-51,-7,N/A
70,-96,Canada
-35,-31,N/A
25,-22,N/A
-66,-7,N/A
-72,23,Antarctica
63,-168,United States
3,-52,Brazil
27,153,N/A
5,-109,N/A
-10,126,N/A
65,72,Russia
45,24,Romania
-63,22,N/A
63,112,Russia
28,21,Libya
58,131,Russia
-69,-82,N/A
29,135,N/A
-40,117,N/A
63,-45,Greenland
70,-30,Greenland
-70,58,Antarctica
8,113,N/A
7,170,Marshall Islands
-10,39,Tanzania
27,137,N/A
21,-130,N/A
-38,-173,N/A
72,-74,Canada
65,21,Sweden
10,149,N/A
25,-104,Mexico
-61,12,N/A
-33,2,N/A
-70,100,Antarctica
67,-150,United States
61,59,Russia
-39,60,N/A
-20,94,N/A
61,-101,Canada
-71,-170,N/A
70,-17,N/A
61,150,Russia
24,144,N/A
81,-67,Canada
-10,82,N/A
67,-24,N/A
66,-178,Russia
16,-161,N/A
53,134,Russia
-61,41,N/A
2,-152,N/A
-72,152,Antarctica
35,-122,N/A
-62,44,N/A
67,154,Russia
61,152,Russia
-58,77,N/A
40,131,N/A
19,-124,N/A
2,93,N/A
69,21,Finland
-46,-56,N/A
-23,12,N/A
65,-95,Canada
-47,176,N/A
19,96,Myanmar (Burma)
26,33,Egypt
70,1,N/A
-25,-150,N/A
-62,-28,N/A
65,-25,Iceland
66,71,Russia
-61,35,N/A
-2,-134,N/A
63,26,Finland
-47,48,N/A
15,117,N/A
-13,15,Angola
-61,-147,N/A
40,-50,N/A
54,27,Belarus
31,80,India
64,40,Russia
83,124,N/A
1,-170,N/A
-61,154,N/A
22,-103,Mexico
47,40,Russia
-23,83,N/A
-65,-149,N/A
71,-101,Canada
5,-171,N/A
-85,-11,Antarctica
-51,110,N/A
64,-72,Canada
-20,-164,N/A
68,47,Russia
9,47,Somalia
13,162,N/A
19,6,Niger
-17,-109,N/A
-79,-121,Antarctica
-29,132,Australia
-53,-22,N/A
-67,178,N/A
-12,28,Democratic Republic of the Congo
67,-51,Greenland
64,177,Russia
4,-154,N/A
71,-66,Canada
-70,134,Antarctica
-70,-146,N/A
61,-40,Greenland
-4,95,N/A
61,-77,Canada
-48,-15,N/A
-73,88,Antarctica
66,150,Russia
-72,-77,Antarctica
60,4,N/A
57,80,Russia
-12,-145,French Polynesia
13,134,N/A
14,138,N/A
61,-154,United States
64,-114,Canada
69,-162,United States
64,-7,N/A
-19,138,Australia
-40,-124,N/A
71,173,Russia
72,160,Russia
-26,28,South Africa
1,-48,N/A
-40,-161,N/A
-34,136,Australia
8,-71,Venezuela
-26,-111,N/A
72,-142,N/A
51,-152,N/A
-72,56,Antarctica
71,47,N/A
38,-11,N/A
52,-94,Canada
-22,-114,N/A
-31,-161,N/A
-63,-161,N/A
-87,-174,Antarctica
10,-131,N/A
-61,86,N/A
9,-47,N/A
-6,114,Indonesia
-68,165,N/A
21,140,N/A
72,-82,Canada
70,-112,Canada
11,-68,Venezuela
-69,108,Antarctica
38,86,China
16,22,Chad
28,-94,N/A
25,54,United Arab Emirates
-15,116,N/A
-17,-37,N/A
71,-97,Canada
-20,-122,N/A
15,-30,N/A
-11,-96,N/A
79,-102,Canada
64,-94,Canada
-38,-174,N/A
36,15,N/A
34,18,N/A
-65,86,N/A
12,-6,Mali
-60,-109,N/A
-48,125,N/A
-61,-90,N/A
-71,131,Antarctica
61,-27,N/A
-6,-32,N/A
-66,-48,N/A
73,-129,Canada
62,-120,Canada
-68,43,Antarctica
-65,87,N/A
-17,-51,Brazil
70,115,Russia
-64,61,N/A
-4,178,Kiribati
-53,-1,N/A
26,-79,N/A
-72,98,Antarctica
0,-21,N/A
-62,-115,N/A
-24,-142,N/A
-61,-119,N/A
64,-38,Greenland
-7,-161,Kiribati
63,81,Russia
62,-56,N/A
65,57,Russia
-69,-143,N/A
70,128,Russia
22,-105,Mexico
-44,71,N/A
2,175,Kiribati
78,74,Russia
27,119,China
6,121,Philippines
7,-49,N/A
68,153,Russia
31,-67,N/A
9,72,N/A
-11,-100,N/A
3,-12,N/A
-53,-125,N/A
-10,12,N/A
-64,-101,N/A
-64,69,N/A
-66,87,Antarctica
-13,148,N/A
2,72,Maldives
42,-84,United States
23,17,Libya
69,-131,Canada
-10,-155,Kiribati
-22,-64,Bolivia
12,-18,N/A
4,-168,N/A
-62,135,N/A
10,163,Marshall Islands
37,-88,United States
71,-18,N/A
61,55,Russia
-68,127,Antarctica
-38,-51,N/A
56,105,Russia
-68,-150,N/A
-43,-89,N/A
37,-77,United States
70,174,Russia
56,130,Russia
68,65,Russia
-24,138,Australia
-8,-50,Brazil
49,176,N/A
-33,60,N/A
75,-169,N/A
-20,-149,French Polynesia
18,-95,Mexico
16,33,Sudan
2,-25,N/A
-66,-56,N/A
62,77,Russia
65,39,Russia
-46,4,N/A
67,-66,Canada
-73,155,Antarctica
26,124,N/A
-64,-86,N/A
-38,68,N/A
-40,-68,Argentina
-88,125,Antarctica
-18,-18,N/A
-61,134,N/A
-65,-110,N/A
66,72,Russia
14,-77,N/A
-36,-48,N/A
66,10,N/A
-64,-51,N/A
